战斗日志导出
导出时间,2026-03-17 15:52:45
总翻牌次数,28
最终己方HP,8
最终敌方HP,0
总回合数,1

翻牌序号,回合数,己方HP,敌方HP,己方牌组数,敌方牌组数
1,0,50,50,4,3
2,1,50,50,3,3
3,1,50,44,4,3
4,1,50,40,5,3
5,1,44,40,5,3
6,1,38,40,5,3
7,1,38,40,5,3
8,1,37,40,5,3
9,1,37,34,6,3
10,1,37,30,7,3
11,1,37,27,7,3
12,1,31,27,7,3
13,1,25,27,7,3
14,1,25,27,7,3
15,1,24,27,7,3
16,1,23,27,7,3
17,1,23,21,8,3
18,1,23,18,8,3
19,1,23,14,9,3
20,1,17,14,10,4
21,1,17,11,10,4
22,1,11,11,10,4
23,1,11,11,10,4
24,1,10,11,10,4
25,1,9,11,10,4
26,1,8,11,10,4
27,1,8,8,10,4
28,1,8,2,11,4

卡牌类型,被Reveal次数,出现间隔(总次数/卡次数)
CURSED_SOLDIER,4,7.00
GARBAGE_PUNCH,3,9.33
SOLDIER,6,4.67
BULLDOZER,3,9.33
CURSE_NEW,6,4.67
FLY,5,5.60
