战斗日志导出
导出时间,2026-03-17 16:31:38
总翻牌次数,32
最终己方HP,2
最终敌方HP,0
总回合数,1

翻牌序号,回合数,己方HP,敌方HP,己方牌组数,敌方牌组数
1,0,50,50,4,3
2,1,50,50,3,3
3,1,50,50,3,3
4,1,44,50,3,3
5,1,44,46,4,3
6,1,38,46,4,3
7,1,38,46,6,3
8,1,32,46,6,3
9,1,32,46,6,3
10,1,32,43,6,3
11,1,32,39,7,3
12,1,32,36,7,3
13,1,32,33,7,3
14,1,32,33,9,3
15,1,26,33,9,3
16,1,20,33,9,3
17,1,20,33,9,3
18,1,20,30,9,3
19,1,20,27,9,3
20,1,20,23,11,4
21,1,20,20,11,4
22,1,20,17,11,4
23,1,20,14,11,4
24,1,20,11,11,4
25,1,20,11,13,4
26,1,14,11,13,4
27,1,8,11,13,4
28,1,8,8,13,4
29,1,2,8,13,4
30,1,2,8,13,4
31,1,2,5,13,4
32,1,2,2,13,4

卡牌类型,被Reveal次数,出现间隔(总次数/卡次数)
BULLDOZER,4,8.00
SOLDIER,8,4.00
GARBAGE_PUNCH,4,8.00
GARBAGE_PILE,3,10.67
FLY,12,2.67
