战斗日志导出
导出时间,2026-03-17 15:39:48
总翻牌次数,26
最终己方HP,13
最终敌方HP,0
总回合数,1

翻牌序号,回合数,己方HP,敌方HP,己方牌组数,敌方牌组数
1,0,50,50,4,3
2,1,50,50,3,3
3,1,50,46,4,3
4,1,50,42,5,3
5,1,44,42,5,3
6,1,44,42,5,3
7,1,44,39,5,3
8,1,38,39,5,3
9,1,38,35,6,3
10,1,32,35,6,3
11,1,32,32,6,3
12,1,32,32,6,3
13,1,32,29,6,3
14,1,32,25,7,3
15,1,26,25,7,3
16,1,26,22,7,3
17,1,20,22,7,3
18,1,20,18,8,3
19,1,20,15,8,3
20,1,14,15,9,4
21,1,14,12,9,4
22,1,14,12,9,4
23,1,13,11,9,4
24,1,13,8,9,4
25,1,13,4,10,4
26,1,13,1,10,4

卡牌类型,被Reveal次数,平均Reveal序号,所有Reveal序号
GARBAGE_PUNCH,6,11.17,2;3;8;13;17;24
SOLDIER,6,11.50,4;7;9;14;16;19
STEPPING_STONE,3,12.33,5;11;21
FLY,9,17.22,6;10;12;15;18;20;23;25;26
SYSTEM_FATIGUE,1,22.00,22
