战斗日志导出
导出时间,2026-03-17 16:43:24
总翻牌次数,32
最终己方HP,0
最终敌方HP,4
总回合数,1

翻牌序号,回合数,己方HP,敌方HP,己方牌组数,敌方牌组数
1,0,50,50,4,3
2,1,50,50,3,3
3,1,44,50,3,3
4,1,44,50,3,3
5,1,44,50,5,3
6,1,38,50,5,3
7,1,38,46,6,3
8,1,32,46,6,3
9,1,32,46,6,3
10,1,32,43,6,3
11,1,32,40,6,3
12,1,32,40,8,3
13,1,32,37,8,3
14,1,32,33,9,3
15,1,26,33,9,3
16,1,20,33,9,3
17,1,20,30,9,3
18,1,14,30,9,3
19,1,14,27,9,3
20,1,14,27,10,4
21,1,14,24,10,4
22,1,14,21,10,4
23,1,14,18,10,4
24,1,14,18,12,4
25,1,14,15,12,4
26,1,14,11,13,4
27,1,8,11,13,4
28,1,8,8,13,4
29,1,8,5,13,4
30,1,2,5,13,4
31,1,2,5,13,4
32,1,1,4,13,4

卡牌类型,被Reveal次数,出现间隔(总次数/卡次数)
SOLDIER_1,4,8.00
BULLDOZER,4,8.00
GARBAGE_PILE,3,10.67
GARBAGE_PUNCH,3,10.67
SOLDIER_2,3,10.67
FLY,11,2.91
SOLDIER_3,2,16.00
SYSTEM_FATIGUE,1,32.00
