战斗日志导出
导出时间,2026-03-18 22:17:25
总翻牌次数,40
最终己方HP,0
最终敌方HP,7
总回合数,3

翻牌序号,回合数,己方HP,敌方HP,己方牌组数,敌方牌组数
1,0,50,50,4,3
2,1,50,50,4,3
3,1,50,46,5,3
4,1,46,46,5,4
5,1,46,46,5,6
6,1,43,46,5,5
7,1,43,40,4,5
8,1,43,40,6,5
9,1,43,36,7,5
10,1,39,36,7,6
11,1,36,36,7,6
12,1,33,36,7,6
13,1,33,36,7,8
14,2,33,36,7,8
15,2,29,36,7,9
16,2,26,36,7,9
17,2,26,36,7,11
18,2,23,36,7,11
19,2,23,33,7,11
20,2,23,29,8,11
21,2,23,26,8,11
22,2,23,26,10,11
23,2,23,20,9,11
24,2,20,20,9,11
25,2,20,20,9,11
26,2,20,20,11,11
27,3,20,20,11,11
28,3,17,20,11,11
29,3,17,20,11,11
30,3,17,16,12,11
31,3,17,16,14,11
32,3,14,16,14,11
33,3,11,16,14,11
34,3,8,16,14,11
35,3,8,13,14,11
36,3,8,13,14,13
37,3,5,13,14,13
38,3,5,10,14,13
39,3,2,10,14,12
40,3,2,7,14,12

卡牌类型,被Reveal次数,出现间隔(总次数/卡次数)
CHARGE_SLASH,4,10.00
GARBAGE_PUNCH,3,13.33
GARBAGE_PILE,8,5.00
BURST,2,20.00
SOLDIER,2,20.00
FLY,16,2.50
SPIRIT,2,20.00
