战斗日志导出
导出时间,2026-03-20 10:42:35
总翻牌次数,55
最终己方HP,24
最终敌方HP,0
总回合数,7

翻牌序号,回合数,己方HP,敌方HP,己方牌组数,敌方牌组数
1,0,50,50,3,3
2,1,50,50,3,2
3,1,50,50,3,3
4,2,50,50,3,2
5,2,50,50,2,3
6,2,50,50,4,3
7,2,50,50,7,2
8,2,50,50,7,3
9,3,50,50,7,2
10,3,50,50,7,3
11,4,50,50,6,3
12,4,50,48,7,2
13,4,50,48,6,5
14,4,50,48,8,5
15,4,50,46,9,4
16,4,44,46,8,4
17,4,44,46,11,3
18,4,38,46,11,3
19,5,38,46,10,3
20,5,38,44,10,3
21,5,38,44,12,3
22,5,38,44,15,2
23,5,38,44,14,3
24,5,38,42,15,2
25,5,38,42,14,3
26,5,38,42,12,3
27,5,38,40,12,3
28,5,38,38,12,3
29,5,38,36,12,3
30,5,38,34,12,3
31,5,38,32,12,3
32,5,38,30,12,3
33,5,38,28,12,3
34,5,38,26,12,3
35,5,38,24,12,3
36,5,38,22,13,2
37,5,38,22,13,5
38,6,38,22,12,5
39,6,38,20,12,5
40,6,38,18,12,5
41,6,38,16,12,5
42,6,38,14,12,5
43,6,38,14,15,4
44,6,36,14,14,5
45,6,36,12,14,5
46,6,36,10,15,4
47,6,30,10,14,4
48,6,30,8,15,4
49,7,30,8,14,4
50,7,30,8,17,3
51,7,24,8,16,3
52,7,24,6,16,3
53,7,24,4,17,2
54,7,24,4,16,5
55,7,24,2,16,5

卡牌类型,被Reveal次数,出现间隔(总次数/卡次数)
SOLDIER,10,5.50
GARBAGE_PILE,11,5.00
FLY,26,2.12
GARBAGE_TRUCK,1,55.00
