战斗日志导出
导出时间,2026-03-18 22:47:13
总翻牌次数,49
最终己方HP,1
最终敌方HP,0
总回合数,8

翻牌序号,回合数,己方HP,敌方HP,己方牌组数,敌方牌组数
1,0,50,50,3,3
2,1,50,50,2,3
3,1,50,50,4,3
4,1,50,44,4,2
5,1,50,44,3,5
6,1,50,44,3,5
7,2,50,44,3,5
8,3,50,44,3,4
9,3,46,44,3,5
10,3,43,44,2,6
11,3,43,44,3,5
12,3,40,44,3,5
13,3,40,44,2,8
14,3,40,44,5,8
15,4,40,44,4,8
16,4,40,41,5,7
17,4,37,41,4,7
18,4,37,41,7,6
19,4,34,41,7,6
20,4,31,41,7,7
21,5,31,41,6,7
22,5,31,38,6,7
23,5,31,32,5,7
24,5,31,29,6,6
25,5,28,29,6,6
26,5,25,29,5,6
27,5,25,29,8,5
28,5,22,29,7,6
29,5,22,26,8,6
30,6,22,26,7,6
31,6,22,23,8,5
32,6,22,23,8,7
33,6,19,23,7,8
34,6,19,17,6,8
35,6,19,14,7,8
36,7,19,14,7,7
37,7,16,14,7,6
38,7,13,14,7,6
39,7,10,14,6,7
40,7,10,11,7,6
41,7,7,11,6,7
42,7,7,11,5,7
43,7,7,8,5,7
44,7,7,2,5,6
45,7,4,2,5,6
46,7,4,2,5,9
47,8,4,2,5,8
48,8,4,2,5,10
49,8,1,2,4,11

卡牌类型,被Reveal次数,出现间隔(总次数/卡次数)
GARBAGE_PILE,9,5.44
SOLDIER,5,9.80
BULLDOZER,3,16.33
GARBAGE_PUNCH,1,49.00
FLY,20,2.45
BURST,3,16.33
