战斗日志导出
导出时间,2026-03-19 11:41:45
总翻牌次数,42
最终己方HP,0
最终敌方HP,11
总回合数,7

翻牌序号,回合数,己方HP,敌方HP,己方牌组数,敌方牌组数
1,0,50,50,4,3
2,1,50,50,4,3
3,1,50,50,4,3
4,2,50,50,4,3
5,2,50,50,4,3
6,3,50,50,4,3
7,3,50,50,4,5
8,3,46,50,4,6
9,4,46,50,4,6
10,4,46,50,6,6
11,4,46,46,7,6
12,4,46,46,7,8
13,4,42,46,7,9
14,4,39,46,7,9
15,4,36,46,7,9
16,4,33,46,7,9
17,4,30,46,7,8
18,5,30,46,7,8
19,5,30,46,7,8
20,5,30,46,9,8
21,5,30,46,9,10
22,5,30,40,8,10
23,6,30,40,8,10
24,6,30,34,7,10
25,6,27,34,7,10
26,6,24,34,7,10
27,6,21,34,7,10
28,6,21,31,7,10
29,6,18,31,7,10
30,6,18,31,7,12
31,6,18,28,7,12
32,6,15,28,7,12
33,6,15,24,8,12
34,6,11,24,8,13
35,6,11,24,8,13
36,6,11,21,8,13
37,6,8,21,8,13
38,7,8,21,8,13
39,7,8,15,7,13
40,7,8,11,8,13
41,7,5,11,8,13
42,7,2,11,8,13

卡牌类型,被Reveal次数,出现间隔(总次数/卡次数)
BURST,3,14.00
GARBAGE_PILE,6,7.00
GARBAGE_PUNCH,3,14.00
CHARGE_SLASH,3,14.00
FLY,15,2.80
SPIRIT,2,21.00
SOLDIER,3,14.00
