战斗日志导出
导出时间,2026-03-18 22:09:42
总翻牌次数,41
最终己方HP,0
最终敌方HP,21
总回合数,5

翻牌序号,回合数,己方HP,敌方HP,己方牌组数,敌方牌组数
1,0,50,50,4,3
2,1,50,50,4,3
3,1,50,50,4,3
4,1,50,50,4,3
5,1,46,50,4,4
6,1,46,50,4,6
7,1,46,50,6,6
8,1,46,46,7,6
9,2,46,46,7,6
10,2,43,46,7,6
11,2,40,46,7,6
12,3,40,46,7,6
13,3,40,43,7,6
14,3,40,43,7,8
15,3,37,43,7,8
16,3,37,43,9,8
17,3,33,43,9,9
18,3,33,40,9,9
19,4,33,40,9,9
20,4,33,40,9,11
21,4,30,40,9,10
22,4,30,40,9,10
23,4,30,36,10,10
24,4,27,36,10,10
25,4,27,33,10,10
26,4,24,33,10,10
27,4,21,33,10,10
28,4,21,30,10,10
29,4,18,30,10,10
30,4,15,30,10,10
31,4,15,30,12,10
32,4,15,27,12,10
33,5,15,27,12,10
34,5,12,27,12,9
35,5,12,27,12,9
36,5,12,27,14,9
37,5,9,27,14,9
38,5,6,27,14,9
39,5,6,24,14,9
40,5,2,24,14,10
41,5,2,21,14,10

卡牌类型,被Reveal次数,出现间隔(总次数/卡次数)
BURST,3,13.67
SOLDIER,1,41.00
GARBAGE_PUNCH,3,13.67
GARBAGE_PILE,7,5.86
CHARGE_SLASH,2,20.50
FLY,18,2.28
SPIRIT,2,20.50
