战斗日志导出
导出时间,2026-03-20 11:12:53
总翻牌次数,63
最终己方HP,34
最终敌方HP,0
总回合数,8

翻牌序号,回合数,己方HP,敌方HP,己方牌组数,敌方牌组数
1,0,50,50,3,3
2,1,50,50,3,2
3,1,50,50,2,3
4,1,50,50,4,3
5,1,50,50,7,2
6,1,50,50,7,3
7,2,50,50,6,3
8,2,50,49,6,3
9,2,50,49,8,3
10,2,50,48,9,2
11,2,50,47,9,3
12,3,50,47,9,3
13,4,50,47,8,3
14,4,50,46,9,2
15,4,50,44,8,5
16,4,50,44,11,4
17,4,44,43,10,4
18,4,44,42,11,4
19,5,44,42,10,4
20,5,44,41,10,4
21,5,44,40,10,4
22,5,44,39,10,4
23,5,44,38,11,3
24,5,44,36,10,6
25,5,44,35,10,6
26,5,44,35,8,6
27,5,44,34,8,6
28,5,44,33,8,6
29,5,44,32,8,6
30,5,44,31,8,6
31,5,44,30,8,6
32,5,44,29,8,6
33,5,44,29,11,5
34,5,43,27,11,6
35,6,43,27,10,6
36,6,43,27,13,6
37,7,43,27,12,6
38,7,43,26,12,6
39,7,43,25,12,6
40,7,43,25,14,6
41,7,43,25,12,6
42,7,42,24,12,6
43,7,42,23,12,6
44,7,42,22,12,6
45,7,42,21,12,6
46,7,42,20,12,6
47,7,42,19,12,6
48,7,42,18,12,6
49,7,42,17,12,6
50,7,42,16,12,6
51,7,42,15,12,6
52,7,42,15,15,5
53,7,42,12,15,8
54,8,42,12,14,8
55,8,42,11,15,7
56,8,36,5,14,7
57,8,36,4,14,7
58,8,36,3,14,7
59,8,36,3,17,6
60,8,35,3,17,6
61,8,34,2,16,7
62,8,34,1,16,7
63,8,34,1,18,7

卡牌类型,被Reveal次数,出现间隔(总次数/卡次数)
SOLDIER,5,12.60
GARBAGE_PILE,13,4.85
FLY,35,1.80
CHARGE,2,31.50
