战斗日志导出
导出时间,2026-04-06 22:51:57
总翻牌次数,75
最终己方HP,50
最终敌方HP,0
总回合数,8

翻牌序号,回合数,己方HP,敌方HP,己方牌组数,敌方牌组数
1,0,50,50,3,3
2,1,50,50,2,3
3,1,50,50,5,2
4,1,50,50,5,2
5,1,50,50,5,3
6,2,50,50,5,3
7,3,50,50,5,2
8,3,50,50,5,2
9,3,50,50,4,3
10,3,50,47,6,2
11,3,50,47,5,3
12,3,50,47,4,3
13,3,50,44,5,3
14,3,50,40,8,3
15,4,50,40,7,3
16,4,50,40,6,3
17,4,50,40,9,2
18,4,50,40,8,3
19,4,50,40,7,3
20,4,50,40,9,3
21,4,50,37,10,3
22,4,50,37,9,3
23,4,50,37,11,3
24,4,50,37,10,3
25,4,50,33,13,2
26,4,50,33,13,2
27,4,50,33,13,3
28,5,50,33,13,2
29,5,50,33,12,3
30,5,50,33,11,3
31,5,50,33,13,3
32,5,50,33,12,3
33,5,50,33,14,3
34,5,50,33,13,3
35,5,50,29,16,3
36,6,50,29,16,2
37,6,50,29,15,3
38,6,50,26,16,3
39,6,50,22,18,3
40,6,50,22,17,3
41,6,50,22,20,3
42,7,50,22,19,3
43,7,50,22,18,3
44,7,50,18,20,3
45,7,50,18,19,3
46,7,50,18,21,3
47,7,50,18,20,3
48,7,50,15,21,3
49,7,50,15,20,3
50,7,50,12,21,3
51,7,50,12,20,3
52,7,50,12,22,3
53,7,50,12,21,3
54,7,50,12,24,2
55,7,50,12,23,3
56,7,50,12,22,3
57,7,50,12,25,2
58,7,50,12,24,3
59,7,50,12,23,3
60,7,50,12,25,3
61,7,50,12,24,3
62,7,50,12,26,3
63,7,50,12,25,3
64,7,50,8,27,3
65,7,50,8,26,3
66,7,50,8,28,3
67,7,50,8,27,3
68,7,50,4,29,3
69,7,50,4,28,3
70,7,50,4,31,2
71,7,50,4,30,3
72,7,50,4,29,3
73,7,50,1,31,3
74,8,50,1,30,3
75,8,50,1,29,3

卡牌类型,被Reveal次数,出现间隔(总次数/卡次数)
SACRIFICE_RITUAL,15,5.00
SOLDIER,13,5.77
RIFT_INSECT,8,9.38
RIFT,24,3.13
RIFT_MONSTER,7,10.71
