战斗日志导出
导出时间,2026-03-20 12:20:19
总翻牌次数,46
最终己方HP,0
最终敌方HP,20
总回合数,7

翻牌序号,回合数,己方HP,敌方HP,己方牌组数,敌方牌组数
1,0,50,50,3,3
2,1,50,50,3,3
3,2,50,50,3,2
4,2,50,50,2,3
5,2,50,50,5,2
6,2,50,50,5,2
7,2,50,50,5,5
8,3,50,50,5,4
9,3,50,50,5,6
10,3,44,50,4,6
11,3,44,49,5,5
12,3,43,49,4,6
13,3,43,48,5,6
14,4,43,48,5,5
15,4,37,48,5,4
16,4,37,47,4,7
17,4,37,46,5,6
18,4,36,44,4,7
19,4,36,44,6,7
20,4,34,43,6,7
21,4,34,43,9,6
22,4,33,43,9,7
23,5,33,43,8,7
24,5,33,42,9,6
25,5,32,42,9,6
26,5,32,40,9,8
27,5,31,40,8,9
28,5,30,39,8,9
29,5,30,38,8,9
30,5,28,37,8,9
31,5,28,36,9,8
32,5,22,35,8,8
33,5,22,35,11,8
34,6,22,35,10,8
35,6,22,34,11,7
36,6,16,32,10,7
37,6,15,31,10,7
38,6,14,30,10,7
39,6,14,29,10,7
40,6,14,28,11,6
41,6,13,27,10,7
42,6,11,26,11,7
43,7,11,26,10,7
44,7,10,25,11,6
45,7,4,23,10,6
46,7,4,22,11,5

卡牌类型,被Reveal次数,出现间隔(总次数/卡次数)
SOLDIER,8,5.75
GARBAGE_PILE,8,5.75
FLY,23,2.00
