战斗日志导出
导出时间,2026-03-17 15:51:23
总翻牌次数,27
最终己方HP,8
最终敌方HP,0
总回合数,1

翻牌序号,回合数,己方HP,敌方HP,己方牌组数,敌方牌组数
1,0,50,50,4,3
2,1,50,50,3,3
3,1,44,50,3,3
4,1,44,46,4,3
5,1,38,46,4,3
6,1,38,43,4,3
7,1,38,43,6,3
8,1,32,43,6,3
9,1,26,43,6,3
10,1,26,39,7,3
11,1,26,36,7,3
12,1,26,33,7,3
13,1,26,30,7,3
14,1,26,30,9,3
15,1,20,30,9,3
16,1,20,27,9,3
17,1,14,27,9,3
18,1,14,23,10,3
19,1,8,23,10,3
20,1,8,20,11,4
21,1,8,17,11,4
22,1,8,14,11,4
23,1,8,11,11,4
24,1,8,8,11,4
25,1,8,5,11,4
26,1,8,2,11,4
27,1,8,2,13,4

卡牌类型,被Reveal次数,出现间隔(总次数/卡次数)
SOLDIER,7,3.86
GARBAGE_PUNCH,3,9.00
SPIDER,3,9.00
GARBAGE_PILE,3,9.00
FLY,10,2.70
