战斗日志导出
导出时间,2026-03-18 22:54:01
总翻牌次数,36
最终己方HP,0
最终敌方HP,16
总回合数,5

翻牌序号,回合数,己方HP,敌方HP,己方牌组数,敌方牌组数
1,0,50,50,3,3
2,1,50,50,3,2
3,1,50,50,2,3
4,1,50,46,3,3
5,1,50,40,3,2
6,1,50,40,3,5
7,2,50,40,2,5
8,2,50,40,3,4
9,2,47,40,2,5
10,2,47,36,4,4
11,2,44,36,4,5
12,3,44,36,4,4
13,3,41,36,4,3
14,3,41,36,4,5
15,3,38,36,4,5
16,3,34,36,4,7
17,4,34,36,3,7
18,4,34,32,4,7
19,4,34,28,6,6
20,4,34,28,6,8
21,4,31,28,6,7
22,4,28,28,6,7
23,4,25,28,6,7
24,4,22,28,6,7
25,4,18,28,5,9
26,4,18,28,5,9
27,4,18,24,7,8
28,4,15,24,7,9
29,5,15,24,6,9
30,5,15,20,7,9
31,5,15,20,7,9
32,5,15,16,9,8
33,5,11,16,9,9
34,5,8,16,9,9
35,5,5,16,9,9
36,5,2,16,9,9

卡牌类型,被Reveal次数,出现间隔(总次数/卡次数)
BURST,3,12.00
GARBAGE_PUNCH,6,6.00
SOLDIER,2,18.00
GARBAGE_PILE,3,12.00
FLY,11,3.27
CHARGE_SLASH,4,9.00
SPIRIT,2,18.00
