战斗日志导出
导出时间,2026-03-17 15:16:11
总翻牌次数,35
最终己方HP,0
最终敌方HP,10
总回合数,1

翻牌序号,回合数,己方HP,敌方HP,己方牌组数,敌方牌组数
1,0,50,50,4,3
2,1,50,50,3,3
3,1,50,50,4,3
4,1,50,50,6,3
5,1,44,50,6,3
6,1,38,50,6,3
7,1,38,46,7,3
8,1,37,46,7,3
9,1,37,46,8,3
10,1,31,46,8,3
11,1,31,43,8,3
12,1,31,40,8,3
13,1,31,40,10,3
14,1,25,40,10,3
15,1,25,37,10,3
16,1,25,33,11,3
17,1,24,33,11,3
18,1,23,33,11,3
19,1,17,33,11,3
20,1,17,33,13,4
21,1,17,30,13,4
22,1,17,27,13,4
23,1,17,24,13,4
24,1,17,21,13,4
25,1,17,21,15,4
26,1,11,21,15,4
27,1,11,18,15,4
28,1,11,15,15,4
29,1,11,11,16,4
30,1,10,11,16,4
31,1,9,11,16,4
32,1,3,11,16,4
33,1,2,11,16,4
34,1,2,11,17,4
35,1,1,10,17,4
