战斗日志导出
导出时间,2026-03-17 16:39:48
总翻牌次数,25
最终己方HP,17
最终敌方HP,0
总回合数,1

翻牌序号,回合数,己方HP,敌方HP,己方牌组数,敌方牌组数
1,0,50,50,4,3
2,1,50,50,3,3
3,1,50,46,4,3
4,1,44,46,4,3
5,1,44,46,4,3
6,1,38,46,4,3
7,1,38,40,5,3
8,1,38,37,5,3
9,1,38,33,6,3
10,1,32,33,6,3
11,1,32,33,6,3
12,1,31,33,6,3
13,1,25,33,6,3
14,1,25,30,6,3
15,1,25,24,7,3
16,1,25,21,7,3
17,1,25,17,8,3
18,1,19,17,8,3
19,1,19,17,8,3
20,1,18,17,9,4
21,1,18,14,9,4
22,1,17,14,9,4
23,1,17,11,9,4
24,1,17,8,9,4
25,1,17,2,10,4

卡牌类型,被Reveal次数,出现间隔(总次数/卡次数)
GARBAGE_PUNCH,4,6.25
SOLDIER,5,5.00
BULLDOZER,3,8.33
CURSED_SOLDIER,3,8.33
FLY,6,4.17
CURSE_NEW,3,8.33
