战斗日志导出
导出时间,2026-03-18 22:59:10
总翻牌次数,36
最终己方HP,0
最终敌方HP,5
总回合数,7

翻牌序号,回合数,己方HP,敌方HP,己方牌组数,敌方牌组数
1,0,50,50,3,3
2,1,50,50,3,2
3,1,50,50,3,5
4,2,50,50,3,4
5,2,50,50,2,7
6,2,50,46,3,7
7,2,50,40,2,7
8,2,50,36,4,7
9,3,50,36,4,6
10,3,47,36,4,6
11,3,44,36,3,7
12,3,44,30,3,6
13,3,38,30,2,6
14,3,38,26,4,5
15,3,35,26,3,6
16,3,35,22,5,5
17,3,35,22,5,7
18,3,29,22,5,7
19,4,29,22,5,6
20,4,29,22,5,8
21,4,26,22,5,9
22,5,26,22,5,8
23,5,26,22,5,11
24,6,26,22,5,11
25,7,26,22,4,11
26,7,26,19,5,10
27,7,23,19,4,11
28,7,23,13,4,10
29,7,20,13,3,11
30,7,20,9,5,10
31,7,14,9,5,9
32,7,11,9,5,9
33,7,5,9,4,9
34,7,5,9,4,9
35,7,5,5,6,8
36,7,2,5,6,8

卡牌类型,被Reveal次数,出现间隔(总次数/卡次数)
GARBAGE_PILE,5,7.20
CHARGE_SLASH,3,12.00
SOLDIER,7,5.14
GARBAGE_PUNCH,3,12.00
FLY,10,3.60
SPIRIT,1,36.00
