战斗日志导出
导出时间,2026-03-17 16:53:24
总翻牌次数,21
最终己方HP,2
最终敌方HP,0
总回合数,1

翻牌序号,回合数,己方HP,敌方HP,己方牌组数,敌方牌组数
1,0,50,50,4,3
2,1,50,50,3,3
3,1,50,44,3,3
4,1,50,44,3,3
5,1,44,44,3,3
6,1,44,38,3,3
7,1,38,38,3,3
8,1,38,32,3,3
9,1,32,32,3,3
10,1,32,26,3,3
11,1,32,26,3,3
12,1,26,26,3,3
13,1,26,20,3,3
14,1,20,20,3,3
15,1,20,14,3,3
16,1,20,14,3,3
17,1,14,14,3,3
18,1,14,8,3,3
19,1,14,2,3,3
20,1,8,2,4,4
21,1,2,2,4,4

卡牌类型,被Reveal次数,出现间隔(总次数/卡次数)
SOLDIER_4,4,5.25
BULLDOZER,3,7.00
SOLDIER_3,2,10.50
SOLDIER_5,5,4.20
SOLDIER_1,3,7.00
SOLDIER_2,3,7.00
