战斗日志导出
导出时间,2026-03-17 16:17:54
总翻牌次数,27
最终己方HP,0
最终敌方HP,2
总回合数,1

翻牌序号,回合数,己方HP,敌方HP,己方牌组数,敌方牌组数
1,0,50,50,4,3
2,1,50,50,3,3
3,1,44,50,3,3
4,1,44,46,4,3
5,1,38,46,4,3
6,1,32,46,4,3
7,1,32,42,5,3
8,1,32,39,5,3
9,1,32,39,5,3
10,1,32,35,6,3
11,1,26,35,6,3
12,1,26,32,6,3
13,1,26,29,6,3
14,1,26,25,7,3
15,1,20,25,7,3
16,1,20,22,7,3
17,1,14,22,7,3
18,1,14,22,7,3
19,1,14,18,8,3
20,1,14,15,9,4
21,1,14,12,9,4
22,1,14,9,9,4
23,1,14,5,10,4
24,1,14,2,10,4
25,1,8,2,10,4
26,1,2,2,10,4
27,1,2,2,10,4

卡牌类型,被Reveal次数,出现间隔(总次数/卡次数)
SOLDIER,9,3.00
GARBAGE_PUNCH,6,4.50
FLY,8,3.38
BULLDOZER,3,9.00
