战斗日志导出
导出时间,2026-03-20 10:40:28
总翻牌次数,40
最终己方HP,23
最终敌方HP,0
总回合数,7

翻牌序号,回合数,己方HP,敌方HP,己方牌组数,敌方牌组数
1,0,50,50,3,3
2,1,50,50,2,3
3,1,50,50,3,3
4,2,50,50,2,3
5,2,50,50,2,3
6,2,50,50,5,3
7,3,50,50,4,3
8,3,50,50,7,2
9,3,47,50,7,2
10,3,44,50,6,3
11,3,44,47,7,3
12,4,44,47,6,3
13,4,44,47,9,2
14,4,41,47,8,3
15,4,41,44,9,2
16,4,38,44,8,3
17,4,38,41,8,3
18,4,38,38,9,2
19,4,35,38,8,3
20,4,35,35,9,3
21,5,35,35,8,3
22,5,35,32,8,3
23,5,35,29,8,3
24,5,35,26,8,3
25,5,35,23,8,3
26,5,35,23,10,3
27,5,35,20,11,2
28,5,32,20,11,3
29,6,32,20,10,3
30,6,32,17,10,3
31,6,32,14,11,2
32,6,29,14,10,3
33,6,29,11,11,2
34,6,26,11,10,3
35,6,26,8,11,2
36,6,23,8,11,3
37,7,23,8,10,3
38,7,23,8,8,3
39,7,23,5,8,3
40,7,23,2,8,3

卡牌类型,被Reveal次数,出现间隔(总次数/卡次数)
GARBAGE_TRUCK,3,13.33
GARBAGE_PILE,4,10.00
SMALL_SOLDIER,9,4.44
FLY,17,2.35
