战斗日志导出
导出时间,2026-03-18 22:44:55
总翻牌次数,39
最终己方HP,0
最终敌方HP,23
总回合数,6

翻牌序号,回合数,己方HP,敌方HP,己方牌组数,敌方牌组数
1,0,50,50,3,3
2,1,50,50,3,2
3,1,46,50,2,4
4,1,46,50,3,4
5,2,46,50,3,3
6,2,46,50,2,6
7,2,46,50,2,6
8,2,46,50,2,6
9,2,46,50,5,6
10,3,46,50,5,5
11,3,43,50,5,5
12,3,39,50,5,6
13,3,36,50,4,7
14,3,36,47,5,6
15,3,36,47,4,9
16,3,36,41,3,9
17,3,36,41,6,8
18,3,33,41,5,9
19,3,33,41,5,9
20,4,33,41,5,9
21,5,33,41,4,9
22,5,33,38,5,8
23,5,29,38,5,9
24,5,26,38,4,10
25,5,26,35,5,9
26,5,23,35,5,9
27,5,20,35,5,10
28,6,20,35,4,10
29,6,20,35,7,9
30,6,17,35,7,8
31,6,14,35,7,8
32,6,11,35,6,9
33,6,11,32,7,8
34,6,8,32,6,9
35,6,8,29,7,8
36,6,5,29,6,9
37,6,5,23,6,8
38,6,5,23,6,10
39,6,2,23,6,10

卡牌类型,被Reveal次数,出现间隔(总次数/卡次数)
GARBAGE_PUNCH,3,13.00
BULLDOZER,3,13.00
GARBAGE_PILE,6,6.50
SOLDIER,3,13.00
FLY,17,2.29
BURST,1,39.00
