战斗日志导出
导出时间,2026-03-18 22:52:33
总翻牌次数,36
最终己方HP,0
最终敌方HP,3
总回合数,5

翻牌序号,回合数,己方HP,敌方HP,己方牌组数,敌方牌组数
1,0,50,50,3,3
2,1,50,50,3,2
3,1,46,50,3,3
4,1,46,50,3,5
5,1,43,50,2,5
6,1,43,46,4,5
7,2,43,46,3,5
8,2,43,42,5,4
9,2,43,42,5,6
10,2,40,42,4,7
11,2,40,38,5,7
12,2,40,35,6,6
13,2,37,35,6,5
14,2,33,35,5,7
15,2,33,29,5,6
16,2,30,29,5,7
17,3,30,29,5,6
18,3,30,29,4,9
19,3,30,26,5,8
20,3,26,26,4,10
21,3,26,22,5,10
22,3,26,18,6,10
23,3,26,15,7,10
24,4,26,15,6,10
25,4,26,12,7,9
26,4,22,12,7,10
27,4,19,12,7,10
28,4,16,12,7,10
29,4,13,12,7,10
30,4,10,12,7,11
31,5,10,12,7,10
32,5,7,12,6,11
33,5,7,6,6,10
34,5,7,6,5,13
35,5,7,3,6,12
36,5,4,3,6,12

卡牌类型,被Reveal次数,出现间隔(总次数/卡次数)
GARBAGE_PUNCH,8,4.50
GARBAGE_PILE,4,9.00
BURST,2,18.00
FLY,13,2.77
CHARGE_SLASH,2,18.00
SOLDIER,2,18.00
