战斗日志导出
导出时间,2026-03-18 22:58:08
总翻牌次数,29
最终己方HP,38
最终敌方HP,0
总回合数,6

翻牌序号,回合数,己方HP,敌方HP,己方牌组数,敌方牌组数
1,0,50,50,3,3
2,1,50,50,3,2
3,1,50,50,2,3
4,1,50,46,4,2
5,1,50,46,4,3
6,2,50,46,3,3
7,2,50,42,4,3
8,2,50,42,4,3
9,2,50,38,6,2
10,2,50,38,6,2
11,2,50,38,5,5
12,2,50,32,5,5
13,3,50,32,4,5
14,3,50,28,5,5
15,3,50,22,5,4
16,3,44,22,4,4
17,3,44,18,6,4
18,4,44,18,6,3
19,4,41,18,5,4
20,4,41,18,5,4
21,4,41,14,6,4
22,4,41,8,6,3
23,4,41,8,5,6
24,4,41,5,6,6
25,5,41,5,5,6
26,5,41,5,5,6
27,5,41,1,7,6
28,6,41,1,7,5
29,6,38,1,6,6

卡牌类型,被Reveal次数,出现间隔(总次数/卡次数)
SOLDIER,8,3.63
CHARGE_SLASH,3,9.67
SPIRIT,3,9.67
GARBAGE_PUNCH,4,7.25
GARBAGE_PILE,2,14.50
FLY,3,9.67
