战斗日志导出
导出时间,2026-03-20 11:10:56
总翻牌次数,48
最终己方HP,0
最终敌方HP,14
总回合数,6

翻牌序号,回合数,己方HP,敌方HP,己方牌组数,敌方牌组数
1,0,50,50,3,3
2,1,50,50,3,2
3,1,50,50,2,3
4,1,50,50,4,3
5,1,50,50,3,2
6,1,50,50,2,3
7,1,50,50,5,2
8,1,50,50,5,5
9,2,50,50,4,5
10,2,50,49,5,4
11,2,44,48,4,4
12,2,44,48,3,3
13,2,43,48,2,4
14,2,43,48,5,3
15,2,37,48,5,3
16,3,37,48,5,2
17,3,37,48,4,5
18,3,37,47,5,4
19,3,31,46,5,3
20,3,25,45,4,3
21,3,25,44,4,3
22,3,24,44,7,3
23,4,24,44,7,2
24,4,24,43,6,3
25,4,24,43,8,3
26,4,24,42,8,3
27,4,24,42,6,3
28,4,24,41,6,3
29,4,24,40,6,3
30,4,24,39,6,3
31,4,24,38,7,2
32,4,24,36,7,4
33,4,18,32,7,4
34,5,18,32,7,3
35,5,12,30,6,3
36,5,12,30,4,3
37,5,12,29,4,3
38,5,12,28,4,3
39,5,12,28,7,2
40,5,12,26,7,4
41,5,6,21,6,4
42,5,5,21,9,4
43,6,5,21,8,4
44,6,4,21,10,4
45,6,4,21,12,4
46,6,4,20,12,4
47,6,4,19,12,4
48,6,4,18,13,3

卡牌类型,被Reveal次数,出现间隔(总次数/卡次数)
SOLDIER,11,4.36
GARBAGE_PILE,13,3.69
CHARGE,4,12.00
FLY,14,3.43
