战斗日志导出
导出时间,2026-03-17 15:21:17
总翻牌次数,28
最终己方HP,8
最终敌方HP,0
总回合数,1

翻牌序号,回合数,己方HP,敌方HP,己方牌组数,敌方牌组数
1,0,50,50,4,3
2,1,50,50,3,3
3,1,50,47,3,3
4,1,50,47,3,3
5,1,50,43,4,3
6,1,44,43,4,3
7,1,38,43,4,3
8,1,38,43,4,3
9,1,38,40,4,3
10,1,38,37,4,3
11,1,38,34,4,3
12,1,38,30,5,3
13,1,32,30,5,3
14,1,26,30,5,3
15,1,26,30,5,3
16,1,26,27,5,3
17,1,26,24,5,3
18,1,26,21,5,3
19,1,26,17,6,3
20,1,20,17,7,4
21,1,14,17,7,4
22,1,14,14,7,4
23,1,14,11,7,4
24,1,8,11,7,4
25,1,8,11,7,4
26,1,8,7,8,4
27,1,8,4,8,4
28,1,8,1,8,4
