CAT	AVENGER_4.0	厉鬼	Common	4	["DeathRattle","Enhance"]	2026-09-15T00:22:03.026Z
CAT	AWAKENED_REAPER	勾魂人	Uncommon	6	["Awaken","Bury"]	2026-09-15T00:22:03.026Z
CAT	BATTLE_HORN	股骨号角	Rare	12	[]	2026-09-15T00:22:03.026Z
CAT	BEAST_REVIVER	马戏团的地下室	Common	4	["Revive"]	2026-09-15T00:22:03.026Z
CAT	BLACKSMITH_4.0	骨匠	Common	4	["Enhance"]	2026-09-15T00:22:03.026Z
CAT	COMBO_GRANTER	执鞭人	Uncommon	6	[]	2026-09-15T00:22:03.026Z
CAT	COMBO_STARTER	渴血者	Uncommon	6	["EnhanceReaction"]	2026-09-15T00:22:03.026Z
CAT	CURSE_EATER	吞蛊人	Uncommon	6	["Curse"]	2026-09-15T00:22:03.026Z
CAT	CURSE_GARDENER	养蛊人	Uncommon	6	["Curse","Revive"]	2026-09-15T00:22:03.026Z
CAT	CURSE_REVIVER	收蛊人	Common	4	["Curse","Revive"]	2026-09-15T00:22:03.026Z
CAT	CURSE_SUMMONER	走阴人	Uncommon	6	["Curse","Revive"]	2026-09-15T00:22:03.026Z
CAT	CURSE_THIRST_BEAST_4.0	噬咒兽	Uncommon	6	["Curse","Revive"]	2026-09-15T00:22:03.026Z
CAT	CURSE_THIRST_SHAMAN_4.0	噬咒萨满	Uncommon	6	["Curse","Enhance"]	2026-09-15T00:22:03.027Z
CAT	DEATHBED_GRANT	垂死反扑	Uncommon	6	["Bury","Passive"]	2026-09-15T00:22:03.026Z
CAT	DEATHBED_PORTER	抬棺人	Uncommon	6	["DeathRattle"]	2026-09-15T00:22:03.026Z
CAT	DECIMATION	什一抽杀	Rare	12	["MultiAttack","Bury"]	2026-09-15T00:22:03.027Z
CAT	DETERIORATION_4.0	蛊噬	Uncommon	6	["Curse"]	2026-09-15T00:22:03.027Z
CAT	DOOM_HERALD	报丧人	Uncommon	6	["Curse","Revive"]	2026-09-15T00:22:03.027Z
CAT	DUO_REVIVER	阴婚	Rare	12	["Revive"]	2026-09-15T00:22:03.027Z
CAT	ELITE_REVIVER	镀金圣髑	Common	4	["Revive"]	2026-09-15T00:22:03.026Z
CAT	EULOGIST	司悼人	Uncommon	6	["Bury"]	2026-09-15T00:22:03.026Z
CAT	EXILE_BERSERKER	狂信徒	Uncommon	6	["Exile"]	2026-09-15T00:22:03.026Z
CAT	FINAL_ESCORT	扶灵人	Uncommon	6	["DeathRattle","Revive"]	2026-09-15T00:22:03.026Z
CAT	FLURRY_REVIVER	死不瞑目	Uncommon	6	["Revive"]	2026-09-15T00:22:03.026Z
